RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.071,P,Determine and document priorities for future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.072,O,Provide priorities information for future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.081,P,"Determine risks concerning fulfillment of future real property asset needs, develop mitigation strategies, and document results","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.082,O,Provide risks and mitigation strategies information concerning fulfillment of future real property asset needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.091,P,"Develop and document request for information concerning existing real property assets, rights, and reuse/disposal needs ",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.092,O,"Provide request for information concerning existing real property assets, rights, and reuse/disposal needs ",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.101,I,"Capture response to request for information concerning existing real property assets, rights, and reuse/disposal needs ",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.102,P,"Evaluate response to request for information concerning existing real property assets, rights, and reuse/disposal needs and record results",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.103,O,"Provide evaluation results for request for information concerning existing real property assets, rights, and reuse/disposal needs ",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.111,P,"Determine and document program real property asset needs concerning modernization, reinvestment, end of life, unneeded real property assets, possible reuse, or other actions",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.112,O,"Provide program real property asset needs concerning modernization, reinvestment, end of life, unneeded real property assets, possible reuse, or other actions",41 CFR 102-75.40,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.121,P,Determine and document goals and priorities information for management of existing real property assets and rights,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.122,O,Provide goals and priorities information for management of existing real property assets and rights,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.131,P,"Determine risks concerning existing real property assets and rights, develop mitigation strategies, and document results","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.132,O,Provide risks and mitigation strategies information concerning existing real property assets and rights and document results,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.141,P,Determine goals and priorities information for real property asset reuse and disposal and document results,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.142,O,Provide goals and priorities information for real property asset reuse and disposal ,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.151,P,"Determine risks concerning real property asset reuse and disposal, develop mitigation strategies, and document results","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.152,O,Provide risks and mitigation strategies information concerning real property asset reuse and disposal,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.161,P,"Evaluate real property goals, objectives, and performance information to determine whether objectives are still appropriate and achievable and record results","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.162,O,Provide evaluation results concerning whether real property objectives are appropriate and achievable,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.171,P,Evaluate real property goals and objectives for alignment with organizational goals and record results,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.172,O,Provide evaluation results for alignment of real property goals and objectives with organizational goals ,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.181,P,Determine and document changes to real property goals and objectives,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.182,O,Provide change information for real property goals and objectives,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.191,P,Update real property strategy and program plans and document results,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.192,O,Provide updated real property strategy and program plans,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.201,I,Capture real property program estimated costs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.202,P,Consolidate real property program estimated costs and document results,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.203,O,Provide consolidated real property program estimated costs information,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.211,P,Determine and document real property program total funding needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.010 Real Property Program Strategy and Planning,RPM.010.010.212,O,Provide real property program total funding needs,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.011,I,Capture government-wide real property policy requirements,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.012,P,"Determine Federal legislation, regulations, policies, guidance, and standards that are applicable to real property and document results","41 CFR 102-80.80, 102-80.85",GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.013,O,"Provide Federal legislation, regulations, policies, guidance, and standards that are applicable to real property",,GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.021,P,"Develop and document government-wide real property regulations, policies, guidance, and standards",,GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.022,O,"Provide government-wide real property regulations, policies, guidance, and standards",,GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.031,P,"Develop and document real property organization-specific regulations, policies, guidance, and standards","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.032,O,"Provide real property organization-specific regulations, policies, guidance, and standards","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.041,P,Identify real property management procedures for real property assets and document results,,"GSA Customer Guide to Real Property;
GSA Project Management Guide;
GSA Lease Management Customer Guide;

"
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.042,O,Provide real property management procedures for real property assets,,"GSA Customer Guide to Real Property;
GSA Project Management Guide;
GSA Lease Management Customer Guide;

"
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.051,I,"Capture changes to real property legislation, strategy, and government-wide policy ","Capital Programming Guide, Supplement to OMB Circular A-11;
",GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.052,P,"Update regulations, policies, guidance, and processes and document results","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,"RPM.010.020 Real Property Management Policy, Process, and Guidance Development",RPM.010.020.053,O,"Provide updated regulations, policies, guidance, and processes","Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.011,I,Capture industry leading practices information for real property program performance measurement,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.012,P,Develop and document real property program performance measures,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.013,O,Provide real property program performance measures ,"Capital Programming Guide, Supplement to OMB Circular A-11",
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.021,P,"Develop and document real property program performance report information, including trends and patterns",,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.022,O,"Provide real property program performance report information, including trends and patterns",,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.023,O,"Provide real property program report information for agency performance and other report(s) (e.g., Performance Accountability Report [PAR]) information, financial reports)",Treasury Financial Manual Chapter 9500 Revised Federal Financial Management System Requirements for Fiscal Reporting,GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.031,P,Evaluate real property program performance results against performance measures and record results,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.032,O,Provide evaluation results for real property program performance results against performance measures,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.041,I,Capture real property asset management report content attributes,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.042,P,Develop real property asset management report information and document results,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.030 Real Property Management Reporting and Performance Evaluation,RPM.010.030.043,O,Provide real property asset management report information,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.011,I,Capture real property asset information,,GSA General Reference Guide for Real Property Policy
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.012,P,Evaluate accuracy of real property information against recorded information and standards and record results,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.013,O,"Provide evaluation results for accuracy of real property information against recorded information and standards, including discrepancies and deviations from standards",,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.021,P,"Develop notification of corrective actions needed to remedy discrepancies and deviations from standards, request corrective action plan, and document results",,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.022,O,Provide notification of corrective actions needed to remedy discrepancies and deviations from standards with request for corrective action plan,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.031,I,Capture corrective action plan or updates to corrective action plan for remedying discrepancies and deviations from standards in real property asset information ,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.032,P,Evaluate corrective action plan or updates to corrective action plan for remedying discrepancies and deviations from standards in real property asset information and record results,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.033,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying discrepancies and deviations from standards in real property asset information,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.041,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying discrepancies and deviations from standards in real property asset information,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.042,O,Provide feedback on corrective action plan or updates to corrective action plan for remedying discrepancies and deviations from standards in real property asset information,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.051,I,Capture status information concerning corrective action plan for remedying discrepancies and deviations from standards in real property asset information,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.052,P,Evaluate status information concerning corrective action plan for remedying discrepancies and deviations from standards in real property asset information and record results,,
RPM.010 Real Property Program Planning and Evaluation,RPM.010.040 Real Property Management Independent Verification and Validation,RPM.010.040.053,O,Provide evaluation results for status information concerning corrective action plan for remedying discrepancies and deviations from standards in real property asset information,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.011,I,"Capture real property asset and/or component information, business needs, and other justification information",,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.012,P,"Develop real property asset and/or component request with business needs and justification information, route for review and approval, and document results",,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.013,O,"Provide real property asset and/or component request with business needs, justification information, and approval information",,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.021,P,"Evaluate real property asset and/or component request with business needs and justification information, determine if request aligns with strategic objectives and program plan, and record results",,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.022,O,Provide evaluation results concerning real property asset and/or component request with business needs and justification information and alignment with strategic objectives and program plan,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.031,P,Approve/disapprove real property asset and/or component request with business needs and justification information and document results,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.032,O,Provide approval/disapproval of real property asset and/or component request with business needs and justification information,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.041,P,Develop and document feedback concerning disapproved real property asset and/or component request with business needs and justification information,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.042,O,Provide feedback concerning disapproved real property asset and/or component request with business needs and justification information,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.051,P,"Develop and document request for Limited Delegation of Authority (e.g., for specific capital improvement) for approved real property asset and/or component request",41 CFR 102-71.20 ,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.052,O,"Provide request for Limited Delegation of Authority (e.g., for specific capital improvement) for approved real property asset and/or component request",41 CFR 102-71.20 ,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.061,I,"Capture request for Limited Delegation of Authority (e.g., for specific capital improvement) for approved real property asset and/or component request",41 CFR 102-71.20 ,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.062,P,"Develop and document Limited Delegation of Authority (e.g., for specific capital improvement) for approved real property asset and/or component request",41 CFR 102-71.20 ,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.010 Real Property Asset Needs Determination,RPM.020.010.063,O,"Provide Limited Delegation of Authority (e.g., for specific capital improvement) for approved real property asset and/or component request",41 CFR 102-71.20 ,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.011,I,Retrieve similar real property project information,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.012,P,Develop and document real property project business needs statement,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.013,O,Provide real property project business needs statement,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.021,I,Capture current real property inventory information relevant to meeting real property project needs ,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.022,P,Evaluate current real property inventory information relevant to meeting real property project needs against business needs statement and record results as specified by 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.023,O,Provide evaluation results for real property inventory information relevant to meeting real property project needs against business needs statement as specified by 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.024,O,Provide possible sites from current real property inventory for meeting real property project needs as specified by 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.031,P,Develop and document request for feedback on possible sites from current real property inventory for meeting real property project needs consistent with 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.032,O,Provide request for feedback on possible sites from current real property inventory for meeting real property project needs consistent with 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.041,I,Capture response to request for feedback on possible sites from current real property inventory for meeting real property project needs consistent with 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.042,P,Evaluate response to request for feedback on possible sites from current real property inventory for meeting real property project needs and record results consistent with 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.043,O,Provide evaluation results for response to request for feedback on possible sites from current real property inventory for meeting real property project needs consistent with 41 CFR,"41 CFR 102-73.20, 102-73.45",
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.051,P,Identify preferred site for meeting real property project needs and document results consistent with 41 CFR,41 CFR 102-73.255,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.052,O,Provide preferred site information for meeting real property project needs consistent with 41 CFR,41 CFR 102-73.255,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.061,P,"Determine and document alternative acquisition approaches (e.g., lease, buy, build) and/or sites for meeting real property project need consistent with 41 CFR","41 CFR 102-73.245, 102-73.255, 102-73.45;
10 U.S.C. 2662",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.062,O,Provide alternative acquisition approaches and/or sites for meeting real property project need consistent with 41 CFR,"41 CFR 102-73.45, 102-73.245, 102-73.255;
10 U.S.C. 2662",GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.071,I,Capture evaluation criteria information used for similar real property projects,,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.072,P,Develop and document evaluation criteria for evaluating alternative acquisition approaches and/or sites for meeting real property project need,Capital Programming Guide I.5.1,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.073,O,Provide evaluation criteria for evaluating alternative acquisition approaches and/or sites for meeting real property project need,Capital Programming Guide I.5.1,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.081,I,Capture market research information,Capital Programming Guide I.5.1, 
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.082,P,Evaluate market research information against evaluation criteria and record results,Capital Programming Guide I.5.1, 
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.083,O,Provide evaluation results for market research information ,Capital Programming Guide I.5.1, 
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.091,P,Determine and document risks associated with alternative acquisition approaches and/or sites for meeting real property project need consistent with 41 CFR,41 CFR 102-73.25; Capital Programming Guide I.5.1,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.092,O,Provide risks associated with alternative acquisition approaches and/or sites for meeting real property project need consistent with 41 CFR,41 CFR 102-73.255; Capital Programming Guide I.5.1,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.101,P,Develop and document risk mitigation strategies for risks associated with alternative acquisition approaches and/or sites for meeting real property project need,Capital Programming Guide I.5.1,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.102,O,Provide risk mitigation strategies for alternative acquisition approaches and/or sites for meeting real property project need,Capital Programming Guide I.5.1,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.111,I,"Capture government and contractor labor, subcontractor, travel, and other direct costs information ",,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.112,I,Retrieve cost information from similar real property projects,,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.113,P,Determine high-level cost estimates for alternative acquisition approaches and/or sites and document results,Capital Programming Guide I.5.3,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.114,O,Provide high-level cost estimates for alternative acquisition approaches and/or sites and document results,Capital Programming Guide I.5.3,GSA Capital Program Project Planning Guide
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.121,P,"Develop and document high-level financial analysis, including net present value, for alternative acquisition approaches and/or sites",Capital Programming Guide I.5.3,
RPM.020 Real Property Asset Needs Assessment and Planning,RPM.020.020 Real Property Project Feasibility Analysis,RPM.020.020.122,O,"Provide high-level financial analysis, including net present value, for alternative acquisition approaches and/or sites",Capital Programming Guide I.5.3,
